FirstName,LastName,BirthDate,Gender,EmailAddress,YearlyIncome,EnglishEducation,Phone
Jeremy,Powell,1956-05-21,M,jeremy26@adventure-works.com,30000,High School,1 (11) 500 555-0183
Alan,Zheng,1957-03-06,M,alan23@adventure-works.com,30000,High School,1 (11) 500 555-0135
Daniel,Johnson,1957-01-31,M,daniel18@adventure-works.com,30000,High School,1 (11) 500 555-0155
Heidi,Lopez,1957-02-03,F,heidi19@adventure-works.com,40000,Partial College,1 (11) 500 555-0168
Ana,Price,1986-02-17,F,ana0@adventure-works.com,60000,Partial College,859-555-0113
Deanna,Munoz,1957-09-07,F,deanna33@adventure-works.com,40000,Partial College,1 (11) 500 555-0192
Gilbert,Raje,1957-09-02,M,gilbert35@adventure-works.com,40000,Partial College,1 (11) 500 555-0129
Michele,Nath,1958-10-01,F,michele19@adventure-works.com,40000,Partial College,1 (11) 500 555-0178
Carl,Andersen,1970-04-07,M,carl12@adventure-works.com,70000,Graduate Degree,1 (11) 500 555-0181
Marc,Diaz,1965-04-23,M,marc6@adventure-works.com,80000,Partial College,1 (11) 500 555-0149
Ashlee,Andersen,1959-09-29,F,ashlee19@adventure-works.com,80000,Partial College,1 (11) 500 555-0112
Jon,Zhou,1959-09-14,M,jon28@adventure-works.com,80000,Partial College,1 (11) 500 555-0174
Todd,Gao,1976-02-20,M,todd14@adventure-works.com,80000,Partial College,1 (11) 500 555-0191
Noah,Powell,1981-03-01,M,noah5@adventure-works.com,40000,High School,767-555-0113
Angela,Murphy,1980-10-04,F,angela41@adventure-works.com,40000,High School,451-555-0162
Chase,Reed,1981-06-05,M,chase21@adventure-works.com,40000,High School,892-555-0184
Jessica,Henderson,1979-04-08,F,jessica29@adventure-works.com,60000,Partial College,278-555-0186
Grace,Butler,1979-05-27,F,grace62@adventure-works.com,70000,Partial College,712-555-0141
Caleb,Carter,1982-03-25,M,caleb40@adventure-works.com,60000,Partial College,944-555-0167
Tiffany,Liang,1966-09-19,F,tiffany17@adventure-works.com,80000,High School,1 (11) 500 555-0177
Carolyn,Navarro,1966-09-17,F,carolyn30@adventure-works.com,80000,High School,1 (11) 500 555-0145
Willie,Raji,1960-10-02,M,willie40@adventure-works.com,80000,High School,1 (11) 500 555-0151
Linda,Serrano,1960-12-23,F,linda31@adventure-works.com,80000,High School,1 (11) 500 555-0130
Casey,Luo,1960-08-05,F,casey6@adventure-works.com,80000,High School,1 (11) 500 555-0125
Amy,Ye,1962-02-11,F,amy16@adventure-works.com,70000,High School,1 (11) 500 555-0185
Levi,Arun,1962-02-25,M,levi6@adventure-works.com,70000,High School,1 (11) 500 555-0127
Felicia,Jimenez,1963-05-16,F,felicia4@adventure-works.com,80000,High School,1 (11) 500 555-0165
Blake,Anderson,1963-01-10,M,blake9@adventure-works.com,80000,High School,1 (11) 500 555-0113
Leah,Ye,1963-03-19,F,leah7@adventure-works.com,80000,High School,1 (11) 500 555-0154
Gina,Martin,1985-01-06,F,gina1@adventure-works.com,40000,High School,196-555-0114
Donald,Gonzalez,1970-03-07,M,donald20@adventure-works.com,160000,Graduate Degree,1 (11) 500 555-0137
Damien,Chander,1965-01-13,M,damien32@adventure-works.com,170000,Graduate Degree,1 (11) 500 555-0111
Savannah,Baker,1972-01-21,F,savannah39@adventure-works.com,120000,Bachelors,478-555-0117
Angela,Butler,1972-02-01,F,angela17@adventure-works.com,130000,Graduate Degree,579-555-0195
Alyssa,Cox,1977-03-11,F,alyssa37@adventure-works.com,130000,Graduate Degree,561-555-0140
Lucas,Phillips,1963-03-12,M,lucas7@adventure-works.com,80000,Partial High School,863-555-0172
Emily,Johnson,1963-01-16,F,emily1@adventure-works.com,60000,High School,850-555-0184
Ryan,Brown,1963-06-22,M,ryan43@adventure-works.com,70000,Partial College,539-555-0198
Tamara,Liang,1963-04-02,F,tamara6@adventure-works.com,70000,Partial College,178-555-0152
Hunter,Davis,1963-05-25,M,hunter64@adventure-works.com,80000,Bachelors,612-555-0141
Abigail,Price,1962-08-05,F,abigail25@adventure-works.com,80000,Bachelors,532-555-0117
Trevor,Bryant,1968-12-13,M,trevor18@adventure-works.com,90000,Partial College,853-555-0174
Dalton,Perez,1962-10-02,M,dalton37@adventure-works.com,90000,Partial College,559-555-0115
Cheryl,Diaz,1972-11-02,F,cheryl4@adventure-works.com,90000,Bachelors,1 (11) 500 555-0192
Aimee,He,1978-09-06,F,aimee13@adventure-works.com,100000,Graduate Degree,1 (11) 500 555-0161
Cedric,Ma,1967-09-29,M,cedric15@adventure-works.com,70000,Partial College,1 (11) 500 555-0115
Chad,Kumar,1968-02-29,M,chad9@adventure-works.com,70000,Partial College,1 (11) 500 555-0151
Andrés,Anand,1968-02-07,M,andrés18@adventure-works.com,60000,Bachelors,1 (11) 500 555-0184
Edwin,Nara,1972-10-23,M,edwin39@adventure-works.com,60000,Partial College,1 (11) 500 555-0112
Mallory,Rubio,1966-10-29,F,mallory7@adventure-works.com,60000,Partial College,1 (11) 500 555-0157
Adam,Ross,1966-09-05,M,adam2@adventure-works.com,60000,Bachelors,1 (11) 500 555-0186
Latasha,Navarro,1966-03-15,F,latasha10@adventure-works.com,60000,Partial College,1 (11) 500 555-0123
Abby,Sai,1970-11-05,F,abby4@adventure-works.com,70000,Bachelors,1 (11) 500 555-0174
Julia,Nelson,1970-10-19,F,julia7@adventure-works.com,80000,Bachelors,1 (11) 500 555-0124
Cassie,Chande,1981-04-12,F,cassie13@adventure-works.com,70000,Bachelors,1 (11) 500 555-0166
Edgar,Sara,1975-03-08,M,edgar11@adventure-works.com,70000,Bachelors,1 (11) 500 555-0125
Candace,Fernandez,1970-06-27,F,candace15@adventure-works.com,70000,Bachelors,1 (11) 500 555-0162
Jessie,Liu,1970-03-11,M,jessie9@adventure-works.com,70000,Bachelors,1 (11) 500 555-0163
Bianca,Lin,1976-03-04,F,bianca7@adventure-works.com,90000,Bachelors,1 (11) 500 555-0121
Kari,Alvarez,1969-01-10,F,kari25@adventure-works.com,70000,Bachelors,1 (11) 500 555-0169
Ruben,Kapoor,1980-04-30,M,ruben1@adventure-works.com,70000,Bachelors,1 (11) 500 555-0132
Curtis,Yang,1967-12-04,M,curtis5@adventure-works.com,60000,Partial College,1 (11) 500 555-0127
Meredith,Gutierrez,1967-08-23,F,meredith34@adventure-works.com,60000,Partial College,1 (11) 500 555-0179
Crystal,Wang,1968-03-08,F,crystal3@adventure-works.com,60000,Partial College,1 (11) 500 555-0134
Micheal,Blanco,1973-02-17,M,micheal11@adventure-works.com,70000,Bachelors,1 (11) 500 555-0131
Leslie,Moreno,1967-11-25,F,leslie7@adventure-works.com,70000,Partial College,1 (11) 500 555-0115
Alvin,Cai,1967-08-12,M,alvin20@adventure-works.com,70000,Partial College,1 (11) 500 555-0191
Clinton,Carlson,1979-04-02,M,clinton14@adventure-works.com,70000,Partial College,1 (11) 500 555-0184
April,Deng,1966-08-21,F,april1@adventure-works.com,70000,Partial College,1 (11) 500 555-0182
Alvin,Zeng,1962-12-31,M,alvin21@adventure-works.com,80000,Partial College,1 (11) 500 555-0174
Evan,James,1940-10-07,M,evan8@adventure-works.com,30000,Partial College,1 (11) 500 555-0187
Beth,Jiménez,1942-02-06,F,beth8@adventure-works.com,40000,Bachelors,1 (11) 500 555-0164
Orlando,Suarez,1966-05-18,M,orlando19@adventure-works.com,70000,Partial College,1 (11) 500 555-0198
Byron,Vazquez,1965-09-30,M,byron9@adventure-works.com,70000,Partial College,1 (11) 500 555-0136
Philip,Alvarez,1965-12-18,M,philip4@adventure-works.com,70000,Partial College,1 (11) 500 555-0191
Ross,Jordan,1968-07-23,M,ross1@adventure-works.com,80000,Partial College,1 (11) 500 555-0126
Dana,Navarro,1961-10-06,F,dana2@adventure-works.com,70000,Partial College,1 (11) 500 555-0172
Shaun,Carson,1954-10-05,M,shaun16@adventure-works.com,10000,High School,1 (11) 500 555-0155
Jan,Edwards,1981-04-19,F,jan11@adventure-works.com,40000,High School,111-555-0118
Samantha,Long,1981-06-03,F,samantha35@adventure-works.com,40000,High School,175-555-0139
Julia,Wright,1981-02-01,F,julia17@adventure-works.com,40000,High School,456-555-0174
Caroline,Russell,1985-07-05,F,caroline21@adventure-works.com,30000,High School,424-555-0137
Amanda,Rivera,1985-09-09,F,amanda7@adventure-works.com,30000,High School,918-555-0126
Melissa,Richardson,1986-04-25,F,melissa31@adventure-works.com,30000,High School,928-555-0118
Angela,Griffin,1986-03-08,F,angela23@adventure-works.com,30000,Partial High School,598-555-0174
Larry,Townsend,1957-02-22,M,larry14@adventure-works.com,10000,High School,1 (11) 500 555-0130
Marcus,Harris,1985-05-02,M,marcus14@adventure-works.com,30000,Partial High School,442-555-0119
Brianna,Morgan,1984-04-24,F,brianna30@adventure-works.com,40000,High School,954-555-0117
Jasmine,Taylor,1984-01-17,F,jasmine7@adventure-works.com,40000,High School,557-555-0146
Lauren,Davis,1984-03-14,F,lauren23@adventure-works.com,40000,High School,832-555-0121
Tanya,Moreno,1949-11-05,F,tanya2@adventure-works.com,30000,Partial College,1 (11) 500 555-0185
Javier,Alvarez,1982-08-11,M,javier1@adventure-works.com,30000,Partial High School,763-555-0134
Nicole,Ramirez,1982-12-19,F,nicole42@adventure-works.com,40000,High School,152-555-0162
Eduardo,Patterson,1983-02-11,M,eduardo55@adventure-works.com,40000,High School,190-555-0184
Jonathan,Henderson,1982-08-04,M,jonathan4@adventure-works.com,40000,High School,149-555-0113
Edward,Hernandez,1985-03-08,M,edward48@adventure-works.com,40000,High School,178-555-0196
Jasmine,Coleman,1985-06-06,F,jasmine46@adventure-works.com,40000,High School,857-555-0115
Karla,Goel,1945-02-22,F,karla20@adventure-works.com,40000,Bachelors,1 (11) 500 555-0137
Ernest,Wu,1944-08-04,M,ernest6@adventure-works.com,60000,Graduate Degree,1 (11) 500 555-0139
Ross,Vazquez,1947-02-13,M,ross32@adventure-works.com,40000,Bachelors,1 (11) 500 555-0163
Theodore,Gill,1946-10-18,M,theodore14@adventure-works.com,40000,Bachelors,1 (11) 500 555-0194
Russell,Shen,1946-09-12,M,russell6@adventure-works.com,40000,Bachelors,1 (11) 500 555-0191
Melinda,Gill,1947-08-25,F,melinda9@adventure-works.com,60000,Graduate Degree,1 (11) 500 555-0117
James,Williams,1981-07-09,M,james77@adventure-works.com,40000,High School,355-555-0153
Megan,Walker,1982-02-18,F,megan25@adventure-works.com,40000,Partial College,918-555-0186
Hunter,Robinson,1981-07-25,M,hunter50@adventure-works.com,40000,Partial College,891-555-0125
Maria,Roberts,1981-08-06,F,maria47@adventure-works.com,40000,Partial College,158-555-0199
Hannah,Long,1980-12-08,F,hannah32@adventure-works.com,40000,High School,974-555-0177
Jason,Wright,1981-04-06,M,jason46@adventure-works.com,40000,High School,694-555-0176
Brianna,Hughes,1981-03-16,F,brianna57@adventure-works.com,40000,High School,319-555-0183
Maurice,Tang,1979-07-08,M,maurice4@adventure-works.com,40000,Partial College,947-555-0172
Emily,Wood,1979-10-20,F,emily27@adventure-works.com,40000,Partial College,184-555-0114
Chase,Cox,1979-09-02,M,chase10@adventure-works.com,40000,Partial College,764-555-0116
Gabriel,Wang,1980-06-18,M,gabriel21@adventure-works.com,40000,Partial College,617-555-0150
Devin,Brooks,1979-11-02,M,devin63@adventure-works.com,40000,Partial College,502-555-0138
Jocelyn,Alexander,1979-01-15,F,jocelyn18@adventure-works.com,60000,Partial College,354-555-0134
Ashley,Martinez,1977-10-22,F,ashley18@adventure-works.com,70000,Partial College,131-555-0194
David,Rodriguez,1973-11-12,M,david83@adventure-works.com,80000,Bachelors,730-555-0128
Bryce,Richardson,1973-12-20,M,bryce8@adventure-works.com,90000,Bachelors,178-555-0176
Carol,Howard,1973-08-04,F,carol5@adventure-works.com,90000,Bachelors,845-555-0127
Jonathan,Hill,1978-10-05,M,jonathan43@adventure-works.com,100000,Bachelors,134-555-0196
Gabrielle,Adams,1973-05-20,F,gabrielle58@adventure-works.com,100000,Bachelors,403-555-0152
Sarah,Thomas,1973-02-28,F,sarah13@adventure-works.com,110000,Graduate Degree,868-555-0188
Nicholas,Robinson,1973-01-09,M,nicholas19@adventure-works.com,110000,Graduate Degree,949-555-0138
Luis,Wang,1968-09-01,M,luis24@adventure-works.com,70000,Partial College,418-555-0127
Mason,Roberts,1979-01-21,M,mason25@adventure-works.com,90000,Bachelors,539-555-0162
Jose,Flores,1948-01-01,M,jose6@adventure-works.com,110000,Graduate Degree,157-555-0182
Nathan,Johnson,1954-08-20,M,nathan55@adventure-works.com,100000,Graduate Degree,117-555-0182
Molly,Rodriguez,1959-12-08,F,molly18@adventure-works.com,120000,Graduate Degree,135-555-0185
April,Anand,1948-07-01,F,april18@adventure-works.com,160000,Bachelors,702-555-0144
Devin,Martin,1960-02-01,M,devin13@adventure-works.com,170000,Graduate Degree,735-555-0197
Stephanie,Torres,1950-02-22,F,stephanie19@adventure-works.com,70000,Bachelors,567-555-0176
Jasmine,Lee,1950-01-12,F,jasmine19@adventure-works.com,70000,Bachelors,147-555-0199
Meghan,Hernandez,1955-11-13,F,meghan3@adventure-works.com,70000,Bachelors,967-555-0188
Ashley,Henderson,1950-04-07,F,ashley31@adventure-works.com,70000,Bachelors,173-555-0121
Sarah,Price,1949-11-18,F,sarah25@adventure-works.com,70000,Bachelors,180-555-0133
Jennifer,Cooper,1949-08-21,F,jennifer63@adventure-works.com,60000,Graduate Degree,857-555-0111
Catherine,Morris,1950-03-06,F,catherine16@adventure-works.com,60000,Graduate Degree,795-555-0117
Lawrence,Blanco,1950-01-12,M,lawrence14@adventure-works.com,60000,Graduate Degree,656-555-0171
Carson,Bryant,1949-12-20,M,carson17@adventure-works.com,70000,Bachelors,240-555-0142
Kristi,Perez,1951-06-17,F,kristi39@adventure-works.com,70000,Bachelors,123-555-0181
James,Brown,1951-03-13,M,james79@adventure-works.com,60000,Bachelors,725-555-0117
Ian,Gray,1950-08-13,M,ian72@adventure-works.com,60000,Bachelors,596-555-0190
Jacqueline,Price,1950-12-08,F,jacqueline0@adventure-works.com,60000,Bachelors,266-555-0112
Megan,Henderson,1951-08-10,F,megan55@adventure-works.com,60000,Bachelors,560-555-0150
Alfredo,Romero,1951-12-05,M,alfredo10@adventure-works.com,60000,Bachelors,342-555-0110
Andrea,Morris,1951-12-16,F,andrea18@adventure-works.com,70000,Bachelors,715-555-0178
Brooke,Sanders,1952-05-25,F,brooke3@adventure-works.com,70000,Bachelors,215-555-0156
Jacqueline,Bennett,1957-11-02,F,jacqueline1@adventure-works.com,70000,Bachelors,413-555-0174
Jason,Griffin,1953-05-21,M,jason18@adventure-works.com,70000,Bachelors,232-555-0160
Amanda,Foster,1953-02-14,F,amanda37@adventure-works.com,70000,Bachelors,505-555-0159
Alexia,Price,1958-08-22,F,alexia0@adventure-works.com,80000,Bachelors,552-555-0118
Luis,Diaz,1959-08-18,M,luis21@adventure-works.com,40000,High School,171-555-0126
Destiny,Rivera,1953-11-29,F,destiny33@adventure-works.com,40000,High School,743-555-0111
Abby,Fernandez,1954-01-21,F,abby13@adventure-works.com,40000,High School,134-555-0119
Blake,Flores,1954-03-24,M,blake60@adventure-works.com,60000,Partial College,975-555-0163
Danielle,Cox,1954-01-16,F,danielle12@adventure-works.com,60000,Partial College,396-555-0158
Maria,Reed,1953-08-03,F,maria4@adventure-works.com,60000,Bachelors,156-555-0163
Allison,Evans,1953-07-12,F,allison21@adventure-works.com,60000,Bachelors,988-555-0151
Edward,Wood,1953-12-06,M,edward50@adventure-works.com,70000,Partial College,229-555-0114
Samantha,Russell,1960-10-08,F,samantha42@adventure-works.com,40000,High School,547-555-0121
Chloe,Campbell,1955-05-05,F,chloe4@adventure-works.com,40000,High School,205-555-0169
Stephanie,Murphy,1954-11-11,F,stephanie11@adventure-works.com,60000,Partial College,293-555-0151
Charles,Miller,1955-05-07,M,charles9@adventure-works.com,60000,Partial College,389-555-0115
Ana,Perry,1961-06-17,F,ana7@adventure-works.com,40000,Partial High School,446-555-0134
Jasmine,Torres,1955-11-17,F,jasmine32@adventure-works.com,60000,Partial College,939-555-0130
Natalie,Adams,1955-08-11,F,natalie58@adventure-works.com,60000,Partial College,300-555-0150
Olivia,Brown,1961-09-07,F,olivia4@adventure-works.com,60000,Partial College,414-555-0147
Erica,Huang,1961-02-19,F,erica5@adventure-works.com,60000,Partial College,618-555-0157
Nathan,Perry,1955-12-08,M,nathan3@adventure-works.com,70000,Partial College,271-555-0191
Alexandra,Rivera,1956-02-14,F,alexandra11@adventure-works.com,80000,Bachelors,488-555-0143
Hailey,Patterson,1957-03-15,F,hailey30@adventure-works.com,70000,High School,480-555-0126
Tiffany,Li,1957-03-05,F,tiffany3@adventure-works.com,70000,High School,197-555-0118
Madison,Lee,1962-02-12,F,madison22@adventure-works.com,60000,Partial College,471-555-0142
Sydney,Ross,1962-09-23,F,sydney26@adventure-works.com,60000,Partial College,219-555-0146
Marshall,Chavez,1962-08-08,M,marshall35@adventure-works.com,60000,Partial College,712-555-0116
Ashley,Jones,1956-10-16,F,ashley3@adventure-works.com,60000,Partial College,996-555-0169
Amber,Turner,1956-09-30,F,amber4@adventure-works.com,70000,Partial College,155-555-0131
Dennis,Zhang,1963-11-11,M,dennis1@adventure-works.com,60000,High School,710-555-0134
Hailey,Bryant,1958-03-27,F,hailey38@adventure-works.com,60000,High School,156-555-0195
Todd,Li,1963-09-06,M,todd5@adventure-works.com,70000,Partial College,680-555-0147
Anna,Griffin,1958-05-19,F,anna46@adventure-works.com,70000,Partial College,965-555-0146
Angel,Stewart,1957-08-07,M,angel24@adventure-works.com,70000,Partial College,540-555-0122
Jeremy,Butler,1957-09-02,M,jeremy29@adventure-works.com,70000,Partial College,980-555-0117
Clarence,Anand,1964-03-22,M,clarence36@adventure-works.com,130000,Bachelors,1 (11) 500 555-0191
Mayra,Prasad,1964-02-07,F,mayra9@adventure-works.com,130000,Bachelors,1 (11) 500 555-0116
Latoya,Goel,1969-10-02,F,latoya18@adventure-works.com,130000,Partial College,1 (11) 500 555-0149
Anne,Hernandez,1964-06-09,F,anne4@adventure-works.com,160000,Partial College,1 (11) 500 555-0119
Lisa,Cai,1974-04-06,F,lisa24@adventure-works.com,100000,Partial College,1 (11) 500 555-0125
Larry,Munoz,1963-05-11,M,larry9@adventure-works.com,110000,Partial College,1 (11) 500 555-0193
Robin,Alvarez,1963-04-08,F,robin2@adventure-works.com,150000,Partial College,1 (11) 500 555-0198
Alexis,Coleman,1968-11-22,F,alexis28@adventure-works.com,170000,Bachelors,1 (11) 500 555-0115
Ricky,Vazquez,1962-04-26,M,ricky15@adventure-works.com,120000,High School,1 (11) 500 555-0147
Latasha,Rubio,1962-04-08,F,latasha21@adventure-works.com,120000,High School,1 (11) 500 555-0178
Claudia,Zhou,1961-12-04,F,claudia7@adventure-works.com,130000,Partial College,1 (11) 500 555-0116
Tristan,Alexander,1966-03-22,M,tristan19@adventure-works.com,110000,Partial College,1 (11) 500 555-0124
Cindy,Patel,1966-07-09,F,cindy3@adventure-works.com,130000,Partial College,1 (11) 500 555-0149
Shannon,Liu,1966-03-08,F,shannon4@adventure-works.com,170000,High School,1 (11) 500 555-0119
Xavier,Long,1938-01-01,M,xavier51@adventure-works.com,30000,High School,243-555-0114
Nicholas,Thompson,1937-12-05,M,nicholas16@adventure-works.com,90000,Graduate Degree,377-555-0147
José,Hernandez,1949-08-24,M,josé54@adventure-works.com,60000,Graduate Degree,712-555-0130
Johnathan,Vance,1938-08-31,M,johnathan5@adventure-works.com,70000,Graduate Degree,494-555-0166
Colin,Lin,1938-10-02,M,colin8@adventure-works.com,70000,Graduate Degree,599-555-0132
Jacqueline,Powell,1938-07-06,F,jacqueline9@adventure-works.com,120000,Graduate Degree,796-555-0111
Xavier,Hill,1938-12-26,M,xavier26@adventure-works.com,120000,Graduate Degree,559-555-0149
Victoria,Stewart,1970-09-24,F,victoria24@adventure-works.com,100000,Partial College,230-555-0139
Katelyn,Kelly,1976-04-08,F,katelyn1@adventure-works.com,110000,Bachelors,507-555-0132
Stephanie,Collins,1970-10-22,F,stephanie52@adventure-works.com,130000,Graduate Degree,209-555-0173
Jennifer,Simmons,1975-05-01,F,jennifer88@adventure-works.com,80000,Bachelors,148-555-0115
Trinity,Richardson,1970-03-11,F,trinity9@adventure-works.com,90000,Partial College,111-555-0116
Eduardo,Martin,1969-12-15,M,eduardo13@adventure-works.com,90000,Partial College,342-555-0195
Elizabeth,Jones,1970-01-10,F,elizabeth7@adventure-works.com,90000,Partial College,941-555-0110
Taylor,Howard,1969-11-02,F,taylor14@adventure-works.com,90000,Partial College,162-555-0131
David,Diaz,1975-09-29,M,david55@adventure-works.com,120000,Partial College,613-555-0119
Katelyn,Carter,1969-10-31,F,katelyn33@adventure-works.com,130000,Graduate Degree,103-555-0195
Ryan,Foster,1975-10-10,M,ryan19@adventure-works.com,130000,Graduate Degree,961-555-0133
Robert,Lee,1975-05-01,M,robert82@adventure-works.com,130000,Graduate Degree,447-555-0174
Danielle,Reed,1969-12-03,F,danielle23@adventure-works.com,150000,Bachelors,136-555-0114
Lauren,Martinez,1962-05-10,F,lauren35@adventure-works.com,70000,Partial College,977-555-0117
Nathan,Lal,1962-03-31,M,nathan26@adventure-works.com,90000,Partial College,147-555-0121
Kyle,Foster,1939-10-10,M,kyle11@adventure-works.com,50000,Graduate Degree,846-555-0126
Jenny,Rai,1939-07-18,F,jenny40@adventure-works.com,80000,Graduate Degree,780-555-0119
Nancy,Chapman,1974-09-15,F,nancy7@adventure-works.com,80000,Partial College,909-555-0129
Charles,Jackson,1968-12-07,M,charles15@adventure-works.com,80000,Partial College,194-555-0175
Jonathan,Phillips,1969-02-16,M,jonathan35@adventure-works.com,90000,Partial College,967-555-0176
Amanda,Cook,1974-09-08,F,amanda3@adventure-works.com,90000,Partial College,252-555-0177
Robert,Collins,1969-02-17,M,robert45@adventure-works.com,90000,Partial College,966-555-0171
Megan,Barnes,1974-10-06,F,megan53@adventure-works.com,110000,Bachelors,807-555-0156
Christian,Thomas,1967-07-16,M,christian46@adventure-works.com,90000,Partial College,692-555-0172
Arturo,Lal,1968-04-24,M,arturo33@adventure-works.com,110000,Bachelors,638-555-0164
Theresa,Serrano,1967-09-24,F,theresa12@adventure-works.com,110000,Bachelors,777-555-0162
Jeremy,Anderson,1973-03-15,M,jeremy2@adventure-works.com,120000,Partial College,940-555-0176
Hunter,Griffin,1967-08-31,M,hunter16@adventure-works.com,170000,Graduate Degree,410-555-0148
Henry,Garcia,1966-07-16,M,henry16@adventure-works.com,70000,Partial College,282-555-0185
Cindy,Sanchez,1978-03-12,F,cindy19@adventure-works.com,110000,Bachelors,198-555-0118
Maria,Carter,1972-03-03,F,maria53@adventure-works.com,130000,Bachelors,239-555-0158
Katelyn,Sanchez,1972-08-14,F,katelyn26@adventure-works.com,130000,Bachelors,395-555-0150
